Task ID, Task Name,Task Content,Status,Date Created,Date Created Text,Due Date,Due Date Text,Start Date,Start Date Text,Parent ID,Attachments,Assignees,Tags,Priority,List Name,Folder Name/Path,Space Name,Time Estimated,Time Estimated Text,Checklists,Comments,Assigned Comments,Time Spent,Time Spent Text,Rolled Up Time,Rolled Up Time Text
86d0b0vqw,"As a user, I want all features to be stable and secure so that I can use the system reliably.",,complete,1758001397217,"9/16/2025, 3:43:17 PM GMT+10",,,,,null,[],[],[],null,Enterprise Software Development - A3,,Team Space,,,{},[],0," """"",,NaN,
86d0b0ubh,Record 5-min PM status video.,,complete,1758001236385,"9/16/2025, 3:40:36 PM GMT+10",,,,,86d0b0u0e,[],[Person 11],[project-manager],null,Enterprise Software Development - A3,,Team Space,,,{},[],0," """"",,NaN,
86d08gzqy,Record 5-min video demonstrating chat functionality + tests.,,complete,1757391901647,"9/9/2025, 2:25:01 PM GMT+10",,,,,86d08gzb3,[],[Person 12],[quality-manager],null,Enterprise Software Development - A3,,Team Space,,,{},[],0," """"",,NaN,
86d0b0uf5,Record Week 10 task negotiation video.,,complete,1758001246539,"9/16/2025, 3:40:46 PM GMT+10",,,,,86d0b0u0e,[],[Person 11],[project-manager],null,Enterprise Software Development - A3,,Team Space,,,{},[],0," """"",,NaN,
86d08hcfq,Display playlists and tracks in each playlist.,,complete,1757393528827,"9/9/2025, 2:52:08 PM GMT+10",,,,,86d08hbdw,[],[Person 13],[frontend],null,Enterprise Software Development - A3,,Team Space,,,{},[],0," """"",,NaN,
86d0b0kkw,Add logout option.,,complete,1758000463419,"9/16/2025, 3:27:43 PM GMT+10",,,,,86d0b0j3m,[],[Person 13],[frontend],null,Enterprise Software Development - A3,,Team Space,,,{},[],0," """"",,NaN,
86d08hc5q,Implement controller endpoints for playlist actions.,,complete,1757393507118,"9/9/2025, 2:51:47 PM GMT+10",,,,,86d08hbdw,[],[Person 14],[backend],null,Enterprise Software Development - A3,,Team Space,,,{},[],0," """"",,NaN,
86d0b0w12,Ensure chat and audio modules are decoupled for scalability.,,complete,1758001430936,"9/16/2025, 3:43:50 PM GMT+10",,,,,86d0b0vqw,[],[user6@example.com],[backend],null,Enterprise Software Development - A3,,Team Space,,,{},[],0," """"",,NaN,
86d08haey,Create AudioRepository (Spring Data JPA).,,complete,1757393330447,"9/9/2025, 2:48:50 PM GMT+10",,,,,86d08ha9y,[],[Person 12],[backend],null,Enterprise Software Development - A3,,Team Space,,,{},[],0," """"",,NaN,
86d0b10h6,Peer Programming (PP): Record a 30-min coding session each (with 2+ observers).,,complete,1758001844597,"9/16/2025, 3:50:44 PM GMT+10",,,,,86d0b10by,[],"[Person 11,Person 14,Person 12,Person 13,user6@example.com]",[all],null,Enterprise Software Development - A3,,Team Space,,,{},[],0," """"",,NaN,
