course,assignment,topic,topic,due,weight,status,grade,resources
CS101,Problem Set 3,recursion,algorithms,2026-05-25,10%,submitted,,
CS101,Midterm,arrays,data structures,2026-05-30,25%,upcoming,,review session Thursday
HIST210,Essay 2,industrial revolution,europe,2026-05-28,20%,in progress,,
HIST210,Reading response,colonialism,,2026-05-22,5%,submitted,B+,
BIO150,Lab report,photosynthesis,plants,2026-05-26,15%,in progress,,lab manual ch 4
BIO150,Quiz 5,cell division,,2026-05-23,5%,upcoming,,
MATH200,Homework 7,integrals,calculus,2026-05-24,10%,submitted,A,
MATH200,Project,modeling,,2026-06-05,30%,not started,,
ENG105,Poetry analysis,modernism,literature,2026-05-27,15%,in progress,,
ENG105,Peer review,,,2026-05-21,5%,submitted,,partner: study group
CHEM110,Pre-lab,titration,acids,2026-05-22,5%,submitted,A-,
CHEM110,Final exam,,,2026-06-10,35%,upcoming,,
PSY101,Discussion post,memory,cognition,2026-05-20,5%,submitted,,
PSY101,Research summary,,,2026-05-29,15%,not started,,
