slug,working_title,headline,section,label,label,state,stage,date,go_live,word_count
spring-trends,Spring fashion piece,5 Trends Defining Spring,style,evergreen,featured,draft,writing,2026/05/22,2026/06/01,1200
budget-tips,Budget basics,How to Save $500 a Month,money,how-to,featured,review,editing,2026/05/18,2026/05/25,900
ai-explainer,AI explainer,What Is Machine Learning,tech,explainer,trending,published,live,2026/05/10,2026/05/12,1500
garden-guide,Garden starter,Start a Garden This Weekend,home,how-to,seasonal,draft,idea,2026/05/30,2026/06/15,1100
travel-japan,Japan travel,7 Days in Kyoto,travel,guide,featured,review,editing,2026/05/20,2026/06/05,2200
recipe-soup,Soup recipe,One-Pot Lentil Soup,food,recipe,evergreen,published,live,2026/05/05,2026/05/06,600
career-pivot,Career change,Switching Careers at 40,work,personal,trending,draft,writing,2026/05/28,2026/06/10,1400
sleep-science,Sleep article,The Science of Better Sleep,health,explainer,evergreen,review,editing,2026/05/19,2026/05/27,1300
remote-work,Remote work piece,Remote Work Setups That Last,work,how-to,featured,draft,idea,2026/06/02,2026/06/20,1000
book-list,Summer reads,12 Books for Summer,culture,listicle,seasonal,published,live,2026/05/01,2026/05/03,800
phone-detox,Digital detox,A Week Without My Phone,tech,personal,trending,draft,writing,2026/05/25,2026/06/08,1600
coffee-guide,Coffee guide,Brewing the Perfect Cup,food,guide,evergreen,review,editing,2026/05/17,2026/05/24,950
