grant_id	milestone	workstream	pi	depends_on	due	status	amount
G-2026-01	Literature review	Phase 1	Dr. Okafor		2026-06-30	in progress	0
G-2026-02	IRB approval	Phase 1	Dr. Okafor	G-2026-01	2026-07-15	pending	0
G-2026-03	Participant recruitment	Phase 2	nguyen@example.org	G-2026-02	2026-08-30	not started	5000
G-2026-04	Data collection	Phase 2	nguyen@example.org	G-2026-03	2026-11-30	not started	18000
G-2026-05	Equipment purchase	Setup	patel@example.com		2026-06-15	approved	24000
G-2026-06	Pilot study	Phase 1	Dr. Okafor	G-2026-05	2026-07-30	in progress	8000
G-2026-07	Data analysis	Phase 3	nguyen@example.org	G-2026-04	2027-02-28	not started	6000
G-2026-08	Interim report	Reporting	patel@example.com	G-2026-06	2026-09-15	not started	0
G-2026-09	Manuscript draft	Phase 3	Dr. Okafor	G-2026-07	2027-04-30	not started	0
G-2026-10	Conference presentation	Dissemination	nguyen@example.org	G-2026-09	2027-06-15	not started	3000
G-2026-11	Final report	Reporting	patel@example.com	G-2026-09	2027-05-31	not started	0
G-2026-12	Budget reconciliation	Admin	patel@example.com		2027-06-30	not started	0
